behavior_score,amortization_term,recovery_amount,ead,lgd,recovery_origin_code,collateral_type_code,survival_time_1,survival_time_2
4.0,204,34892.46,39419.27,0.0,4,3,27,17
94.0,224,14956.45,17840.36,0.8987206536,3,2,17,55
94.0,204,8657.4,9983.36,0.1328170075,3,4,59,1
24.98,240,147884.24,155445.73,0.0,5,2,7,16
1.0,360,105585.75,100034.09,0.0,5,2,18,6
0.0,360,178632.86,193827.21,0.0783912125,5,2,7,15
3.0,300,73352.18,72953.64,0.0,4,2,7,3
1.0,231,7856.3,10110.73,0.8872712455,3,2,23,55
30.0,360,0.0,234195.92,1.0,5,2,18,8
1.0,240,0.0,237121.59,0.7096632691,5,2,16,10
94.0,120,39257.77,91391.71,0.6183955248,5,2,14,63
0.0,240,51468.3,50336.29,0.0,5,2,15,8
1.0,240,39951.65,42891.83,0.068548719,5,2,15,16
28.0,240,0.0,67701.1,0.0,5,2,11,13
94.0,240,61458.19,63106.97,0.0,5,2,15,6
24.98,180,61390.11,67053.1,0.0,1,2,39,20
1.0,240,16829.91,18590.75,0.0947159206,3,2,69,16
26.0,360,0.0,257024.3,1.0,5,2,24,4
24.98,240,73249.72,78985.35,0.0726163776,5,2,25,7
94.0,180,148084.42,154490.49,0.0,5,2,18,2
3.0,240,10527.25,11662.48,0.0973403599,3,2,37,17
24.98,240,48468.19,53717.73,0.0977245315,5,2,33,2
0.0,360,43742.71,42285.73,0.0,5,2,18,3
61.0,240,44599.14,44255.49,0.0,1,2,33,6
1.0,240,0.0,26671.76,1.0,4,2,22,10
5.0,222,13116.06,4751.08,0.9604132113,3,2,22,49
1.0,200,9512.9,10623.44,0.9689761509,3,4,21,58
21.0,240,0.0,78382.94,1.0,5,2,49,3
1.0,240,0.0,76021.75,1.0,5,2,42,4
16.0,360,0.0,97213.95,1.0,5,2,20,3
29.0,236,20713.59,13213.84,0.931905487,3,2,7,66
6.0,240,0.0,80042.69,1.0,5,2,50,1
1.0,240,10116.93,11395.99,0.1122377257,3,2,35,21
1.0,300,58022.63,53734.08,0.0,4,2,10,13
24.98,300,41149.01,43470.88,0.0534120772,4,2,13,4
1.0,240,10009.05,11904.45,0.9627819849,3,2,23,35
4.0,180,0.0,27930.5,1.0,5,2,59,3
94.0,240,12902.03,12677.93,0.0,4,2,45,8
1.0,218,28572.15,20854.19,0.9695193148,3,2,42,33
4.0,229,15163.5,17990.82,0.9108823278,3,2,23,60
1.0,250,0.0,158642.31,0.6657429995,5,2,13,8
93.0,216,6347.98,8192.11,0.0,3,4,37,19
24.98,240,111371.79,149164.14,0.1427838471,5,2,17,8
1.0,240,0.0,87676.36,1.0,5,2,44,2
1.0,313,222232.08,190816.02,0.0,5,2,14,13
1.0,240,0.0,76594.88,1.0,5,2,21,2
1.0,228,13571.75,15520.3,0.1255484752,3,4,57,20
1.0,360,0.0,79590.58,0.7503219288,5,2,11,2
8.0,240,0.0,82022.32,1.0,5,2,60,5
1.0,240,0.0,80722.65,1.0,5,2,45,13
94.0,180,29449.48,38370.13,0.733865123,4,2,18,30
13.0,187,20345.07,20507.75,0.0079326108,4,2,19,9
24.98,240,90182.51,100502.57,0.0,5,2,12,17
1.0,300,0.0,96691.36,1.0,4,2,14,4
5.0,240,10219.93,11416.57,0.0,3,2,35,19
24.98,240,0.0,79389.3,1.0,4,2,11,1
9.0,360,0.0,75228.25,1.0,5,2,14,1
2.0,360,0.0,123744.85,1.0,5,2,11,8
24.98,240,110913.77,105748.47,0.0,5,2,25,4
20.0,300,0.0,99892.77,1.0,4,2,21,5
52.0,218,32540.85,15765.76,0.8982757571,3,4,22,43
24.98,360,99980.76,106716.64,0.0631193036,5,2,18,2
1.0,240,0.0,44793.74,0.8395506889,4,2,7,28
31.0,240,15644.68,101077.69,0.7036316259,5,2,17,32
2.0,240,0.0,58292.3,1.0,4,2,39,13
12.0,240,0.0,129416.53,1.0,5,2,49,9
1.0,240,0.0,27648.02,0.9061994036,4,2,16,4
24.98,204,59431.33,66158.22,0.6883193488,4,3,24,25
24.98,165,37006.24,42287.62,0.5506098558,5,2,16,38
8.0,360,25848.89,105382.7,0.7547141039,5,2,14,9
24.98,236,10034.77,8857.65,0.0,3,2,24,20
24.98,240,147351.87,142545.34,0.0,5,2,17,2
24.98,240,64536.96,55203.2,0.0,4,2,18,20
24.98,240,12266.83,13630.66,0.0,4,2,37,10
24.98,240,120792.89,115631.49,0.0,5,2,27,4
65.0,240,55615.13,60500.61,0.0807509214,5,2,44,3
2.0,300,0.0,68207.81,1.0,4,2,20,12
7.0,360,0.0,258506.47,1.0,5,2,30,3
26.0,240,30048.82,29222.67,0.0,4,2,32,5
3.0,300,0.0,52665.75,1.0,4,2,10,3
1.0,240,17435.48,20733.5,0.9478177828,3,2,28,34
24.98,240,152652.24,137590.6,0.0,5,2,14,10
94.0,204,77305.03,77506.72,0.0,4,3,21,2
5.0,240,0.0,141292.43,1.0,5,2,60,5
94.0,180,21305.17,20322.74,0.0,1,2,60,5
1.0,240,41553.05,36605.79,0.0,4,2,30,16
83.0,360,163470.95,153245.05,0.0,5,2,9,7
2.0,300,0.0,59644.65,1.0,4,2,20,1
4.0,240,10515.71,8980.93,0.0,3,4,35,18
1.0,120,44998.67,86003.52,1.0,5,2,10,45
8.0,240,56644.73,56289.88,0.0,4,2,30,1
5.0,119,0.0,56235.22,1.0,5,2,46,4
1.0,240,8309.96,9801.32,0.8696114401,3,2,31,33
70.0,240,50419.14,49071.35,0.0,5,2,38,6
24.98,228,13810.07,16750.81,0.9148835191,3,4,39,38
46.0,180,17850.32,23209.23,0.8178266004,4,3,23,41
1.0,236,21260.47,10933.14,0.0,3,2,45,23
96.0,300,56233.68,55557.34,0.0,4,2,17,2
3.0,180,0.0,264421.67,1.0,5,2,52,5
1.0,204,0.0,37076.49,1.0,1,2,76,5
24.98,240,95650.47,104760.56,0.7572209365,5,2,12,26
1.0,300,0.0,60909.38,1.0,4,2,14,9
1.0,180,0.0,395239.63,1.0,5,2,29,0
24.98,360,0.0,285678.09,1.0,5,2,10,4
24.98,245,78443.38,85689.52,0.0017785847,5,2,21,2
24.98,331,131582.53,125179.47,0.0,5,2,7,5
5.0,240,81066.7,81586.18,0.0063672548,4,2,14,1
1.0,300,0.0,77116.7,1.0,4,2,18,2
52.0,240,15925.26,18445.09,0.9416473435,3,2,32,53
6.0,300,23524.34,51110.02,0.5397313482,4,2,13,7
24.98,240,50865.69,9148.64,0.0,4,2,7,35
9.0,240,0.0,45994.41,0.6777759456,5,2,18,9
3.0,240,105644.13,122297.59,0.0,5,2,26,24
1.0,222,8034.6,7672.63,1.0,3,2,39,30
2.0,236,16936.36,20201.98,0.9180362519,3,2,27,36
0.0,240,115958.69,85059.39,0.9478240498,5,2,10,32
4.0,300,0.0,52279.57,1.0,4,2,13,1
1.0,236,21260.47,10877.84,0.9448622153,3,2,39,29
89.0,100,0.0,22916.87,0.4666843026,5,2,26,1
94.0,232,15175.91,18183.33,0.9056745932,3,2,24,59
1.0,240,0.0,190180.19,1.0,5,2,56,2
1.0,240,26316.66,26495.58,1.0,3,4,22,33
24.98,180,90889.03,98777.79,0.0,5,2,24,14
64.0,240,89740.53,91854.48,0.0,5,2,39,2
1.0,300,0.0,83093.35,1.0,4,2,10,15
1.0,315,0.0,194035.12,1.0,5,2,18,5
2.0,360,0.0,77984.86,1.0,5,2,37,0
1.0,240,93659.96,90901.07,0.0,5,2,21,10
1.0,360,38881.31,43892.04,0.1141603352,4,2,51,8
24.98,240,115133.15,113580.39,0.0,5,2,15,7
24.98,300,66252.92,62632.22,0.0,4,2,9,9
11.0,300,0.0,61603.66,1.0,4,2,25,1
4.0,240,18211.81,18651.9,0.9578514789,3,2,20,35
1.0,300,0.0,39077.56,1.0,4,2,20,6
1.0,240,59535.76,51789.95,0.0,4,2,31,13
2.0,240,0.0,134361.25,0.6680279747,5,2,26,6
0.0,360,0.0,95697.49,1.0,5,2,12,5
1.0,360,0.0,122912.57,1.0,5,2,15,3
3.0,240,171415.99,169368.15,0.0,5,2,29,1
30.0,204,29774.24,45679.62,0.7575303802,4,3,21,53
15.0,360,0.0,73747.95,1.0,5,2,17,1
75.0,240,45712.95,101053.28,0.7633917576,4,2,26,30
0.0,300,0.0,68115.26,1.0,4,2,14,12
1.0,240,0.0,87853.11,1.0,5,2,19,4
96.0,360,0.0,174740.39,1.0,5,2,12,3
11.0,300,0.0,34694.06,0.8170798215,4,2,20,2
1.0,360,0.0,97632.55,1.0,5,2,28,11
20.0,240,0.0,73180.29,1.0,5,2,20,5
90.0,216,15665.91,20839.07,0.8981144552,3,4,10,44
94.0,300,0.0,34568.49,1.0,4,2,17,5
24.98,180,1717.37,2326.14,0.2617082377,5,2,47,9
56.0,240,19221.72,19805.08,0.9667489351,3,2,22,39
40.0,240,40823.27,40048.96,0.0,4,2,44,3
1.0,228,11917.83,16312.01,0.269383111,3,4,58,15
8.0,300,0.0,32829.1,1.0,4,2,27,3
22.0,216,8316.67,10563.36,0.9756639933,3,4,14,49
94.0,240,87915.51,86083.65,0.0,5,2,15,2
1.0,228,13211.32,12088.85,1.0,3,2,23,39
1.0,240,81399.69,47244.78,1.0,1,2,52,36
24.98,60,79229.38,65287.09,0.0,1,2,22,9
13.0,360,143914.75,143224.24,0.0,5,2,17,11
1.0,300,53708.33,55435.32,0.0311532431,4,2,15,15
24.98,120,12915.76,18457.41,0.040823952,1,2,47,13
96.0,360,104687.91,105397.35,0.006731099,5,2,18,1
1.0,234,18679.03,22150.93,0.952803336,3,4,38,27
24.98,240,19221.71,19908.82,0.9694713197,3,2,19,42
5.0,300,59884.7,60979.71,0.0179569565,4,2,7,20
4.0,300,0.0,40707.1,1.0,4,2,12,4
5.0,240,30642.41,35771.66,1.0,4,2,51,25
56.0,240,48994.16,47158.98,0.0,4,2,13,5
24.98,300,0.0,79351.38,1.0,4,2,11,4
1.0,360,81717.7,71827.79,0.0,5,2,19,20
4.0,240,0.0,27439.2,1.0,5,2,55,1
4.0,240,0.0,61076.59,1.0,5,2,57,7
4.0,360,91188.02,95714.33,0.0,5,2,11,6
24.98,240,188185.1,210364.43,0.0,5,2,11,9
94.0,240,43062.98,39987.7,0.0,4,2,13,16
20.0,240,98355.1,99137.71,0.0,4,2,11,0
31.0,150,0.0,123534.35,0.6445408107,5,2,29,16
0.0,120,0.0,41472.6,0.6669918793,5,2,13,19
25.0,240,0.0,50676.97,1.0,4,2,15,3
24.98,240,461415.86,361741.64,0.0,1,2,8,16
23.0,96,35733.14,51497.1,0.0,5,2,44,17
1.0,300,0.0,80473.47,1.0,4,2,14,4
93.0,236,15942.25,20090.81,0.9111967113,3,2,28,46
4.0,240,10009.05,11406.31,1.0,3,2,33,25
8.0,240,0.0,162309.56,1.0,5,2,14,6
93.0,230,7419.44,11425.6,0.9029390141,3,4,19,61
64.0,240,24738.18,26740.05,0.9645400813,3,4,16,43
0.0,300,0.0,93847.84,1.0,4,2,8,4
57.0,224,15026.83,17926.37,0.8861827576,3,2,17,55
94.0,300,0.0,52722.15,1.0,4,2,20,2
95.0,230,20374.99,22063.35,0.9169745302,3,2,28,31
77.0,300,0.0,55267.77,1.0,4,2,15,0
24.98,222,11973.36,5529.58,0.94012746,3,2,20,50
4.0,240,0.0,165417.34,1.0,5,2,38,4
4.0,131,0.0,47242.01,1.0,5,2,19,5
1.0,300,61212.32,61840.55,0.0101588683,4,2,17,3
4.0,240,0.0,77111.86,0.7529179618,5,2,39,2
37.0,240,124344.74,142623.78,0.0,5,2,32,19
40.0,240,0.0,57675.29,1.0,5,2,66,3
17.0,240,0.0,50132.99,1.0,5,2,70,3
24.98,150,107132.52,97578.32,0.0,5,2,28,9
1.0,214,156657.05,106635.7,1.0,5,2,10,32
24.98,218,28763.97,17827.17,0.9033570668,3,4,24,39
0.0,180,0.0,66447.67,1.0,5,2,49,7
24.98,240,39144.73,44632.78,0.0,4,2,29,22
1.0,240,394398.71,431467.34,0.0859129453,5,2,16,5
93.0,240,33283.52,32835.48,0.0,4,2,24,1
24.98,119,39984.84,37350.46,0.0,4,2,14,6
24.98,300,0.0,78008.87,1.0,4,2,10,6
24.98,360,0.0,335991.01,1.0,5,2,9,2
24.98,240,37726.84,36030.15,0.0,4,2,27,6
1.0,231,7834.09,8068.37,0.0290368439,3,2,73,5
24.98,120,40057.35,48179.91,0.1685881107,1,2,10,3
16.0,300,0.0,74117.11,1.0,4,2,19,1
0.0,360,174910.86,166914.43,0.0,5,2,19,4
24.98,180,106542.52,136335.15,0.0,5,2,27,22
86.0,240,0.0,38686.26,1.0,4,2,27,3
24.98,240,56466.17,54462.21,0.0,5,2,17,3
1.0,240,26316.66,26376.59,0.0022720905,3,4,31,24
0.0,180,60176.69,35915.77,0.9292537506,5,2,25,47
24.98,240,39135.74,37507.91,0.0,4,2,28,6
0.0,240,0.0,17283.56,0.7420135788,4,2,40,22
34.0,240,47072.83,112422.46,0.0,5,2,38,23
1.0,240,0.0,76846.89,0.7521881707,4,2,15,17
24.98,360,0.0,143728.17,1.0,5,2,8,4
5.0,240,25125.27,25603.43,0.0186756228,4,2,18,3
2.0,240,0.0,31865.2,1.0,5,2,36,1
1.0,240,0.0,112510.98,1.0,5,2,66,1
24.98,300,33181.9,34936.11,0.050211944,4,2,28,3
68.0,218,33419.55,17708.46,0.9303637922,3,4,24,40
60.0,240,0.0,109129.64,1.0,5,2,28,1
94.0,300,0.0,78919.46,1.0,4,2,26,4
24.98,240,110536.27,121065.24,0.0,5,2,30,6
5.0,240,0.0,70462.09,0.8835220306,5,2,23,11
5.0,240,15392.53,14956.02,0.0,4,2,12,14
2.0,96,0.0,28606.71,1.0,4,2,18,22
5.0,240,0.0,53253.79,1.0,5,2,14,10
1.0,300,47458.22,42087.54,0.0,4,2,14,21
1.0,177,41367.95,31392.48,0.0,5,2,46,18
24.98,240,36556.08,32587.16,0.0,5,2,27,10
2.0,360,0.0,133268.72,1.0,5,2,22,3
24.98,240,48642.09,44260.41,0.0,4,2,14,9
1.0,240,0.0,53729.51,1.0,4,2,31,1
1.0,240,97915.51,99256.35,0.0135088586,1,2,77,10
90.0,240,66981.6,67145.13,0.0024354707,5,2,21,1
1.0,326,0.0,45052.89,1.0,5,2,19,12
2.0,300,0.0,84005.47,1.0,4,2,21,4
94.0,216,9836.1,13747.11,0.8830525107,3,4,13,42
41.0,180,144922.32,135185.0,0.0,5,2,25,14
24.98,236,10032.46,7470.14,0.9677516084,3,2,15,29
24.98,360,61171.4,57644.32,0.0,5,2,13,6
24.98,240,115349.69,105764.73,0.0,5,2,9,7
2.0,240,12515.96,13279.06,0.0574664171,3,2,56,4
1.0,240,83707.3,78148.7,0.0,5,2,38,7
65.0,240,43220.52,44329.48,0.0250163097,5,2,23,0
1.0,222,13542.93,12717.01,0.9407651641,3,4,30,53
0.0,300,0.0,73827.18,1.0,4,2,15,13
4.0,360,61705.67,64617.75,0.0,5,2,16,1
95.0,240,57047.48,102258.22,1.0,5,2,23,27
77.0,240,0.0,18235.66,1.0,5,2,64,5
60.0,360,50067.21,51005.67,0.0183991309,5,2,31,1
26.0,180,13120.91,17312.39,0.4334927551,1,2,54,45
2.0,240,26319.94,25966.96,0.9753282633,3,4,18,43
24.98,180,18576.21,28271.66,0.9197290584,1,2,23,39
1.0,240,127445.03,119491.81,0.0,5,2,20,6
94.0,232,15190.66,18041.2,0.9175659047,3,2,24,59
94.0,204,37182.89,28157.94,0.0,5,2,22,24
94.0,230,20374.89,21995.84,0.8995882858,3,2,28,31
1.0,220,11148.26,11441.53,0.917885982,3,4,18,61
1.0,200,12906.38,10623.44,0.9314271084,3,4,21,58
1.0,234,14892.43,14612.05,0.9828367683,3,2,32,48
24.98,360,0.0,132830.87,1.0,5,2,10,3
2.0,300,0.0,45167.38,1.0,4,2,12,2
91.0,119,0.0,32395.84,1.0,5,2,59,2
4.0,240,7525.07,7599.41,0.8402869016,4,2,17,61
1.0,300,70461.27,71665.99,0.0168102052,4,2,10,2
1.0,231,7861.28,8976.4,0.1242279756,3,2,60,18
93.0,230,20374.95,22027.0,0.8985890044,3,2,28,31
19.0,241,0.0,72526.64,1.0,4,2,18,17
24.98,141,5668.18,9333.82,0.7842726772,3,4,26,39
24.98,240,64161.45,71179.33,0.0,5,2,13,16
1.0,240,0.0,50754.8,0.7591824313,4,2,30,18
1.0,222,7633.64,5602.87,0.9034637605,3,2,17,55
17.0,240,442181.76,473306.31,0.0,5,2,19,10
7.0,360,0.0,127278.7,1.0,5,2,13,1
24.98,240,35679.0,40612.41,0.0,4,2,30,13
24.98,240,46993.33,55102.03,0.0,5,2,38,15
1.0,240,0.0,17703.32,1.0,4,2,51,1
38.0,360,0.0,106151.86,1.0,5,2,44,2
7.0,240,17378.53,18640.13,0.0676819314,3,2,60,7
24.98,300,0.0,69556.6,1.0,4,2,9,5
1.0,300,70472.39,63783.58,0.0,4,2,13,15
24.98,240,14649.63,71798.75,0.719177757,5,2,13,28
5.0,300,0.0,35316.28,1.0,4,2,25,13
38.0,204,60550.96,60648.38,0.0,4,3,36,2
94.0,236,9477.74,10885.26,0.8895120558,3,2,29,33
2.0,240,35443.68,35336.85,0.0,5,2,34,4
1.0,240,0.0,76559.55,1.0,5,2,29,1
52.0,230,13636.83,15976.77,0.9106283686,3,2,23,53
24.98,360,0.0,87334.95,1.0,4,2,7,2
0.0,48,568.74,15781.91,0.3027072112,5,2,9,59
2.0,300,0.0,36341.02,1.0,4,2,29,1
5.0,300,0.0,29691.38,1.0,4,2,26,6
2.0,240,0.0,29454.21,1.0,4,2,59,3
28.0,300,53489.21,54379.78,0.0163768592,4,2,14,4
18.0,360,222452.95,212161.99,0.0,5,2,12,5
14.0,300,0.0,116120.8,1.0,4,2,34,4
24.98,240,21179.04,20441.73,0.8199243083,4,2,32,32
6.0,300,0.0,34876.54,1.0,4,2,23,1
1.0,240,0.0,45667.28,1.0,5,2,21,13
18.0,120,0.0,50009.44,0.5300873587,5,2,20,4
53.0,300,0.0,55145.58,1.0,4,2,16,0
24.98,240,113051.04,107194.57,0.0,5,2,12,4
5.0,240,136053.07,138265.03,0.0159979714,5,2,22,1
1.0,360,96267.63,90350.88,0.0,5,2,9,7
4.0,240,0.0,33833.09,1.0,4,2,26,4
2.0,240,65759.2,74094.09,0.7392644988,5,2,34,36
24.98,240,68091.45,65849.66,0.0,4,2,20,3
11.0,240,179868.0,162173.04,0.0,5,2,27,10
17.0,240,0.0,239958.7,1.0,5,2,34,5
24.98,240,92253.61,91634.55,0.0,4,2,42,1
96.0,300,0.0,44936.53,1.0,4,2,22,1
1.0,218,33745.23,17827.17,0.9033570668,3,4,24,40
1.0,240,0.0,344441.31,0.6874523263,5,2,20,1
8.0,300,0.0,36601.04,1.0,4,2,17,5
96.0,240,47053.8,45799.24,0.0,4,2,22,8
1.0,222,12698.85,7672.64,1.0,3,2,39,30
44.0,300,0.0,79550.83,1.0,4,2,17,3
71.0,229,15048.0,16645.14,0.095952332,3,2,63,20
31.0,240,0.0,197476.5,1.0,5,2,33,8
0.0,360,226180.16,172705.62,0.0,5,2,8,23
94.0,230,11484.87,13859.31,0.8967437773,3,4,36,26
24.98,221,33287.48,26444.32,0.0,3,4,36,22
24.98,240,48146.56,53890.68,0.0337112891,5,2,32,5
38.0,240,92552.67,199852.55,0.7055325223,5,2,32,37
5.0,229,15124.85,17978.79,0.8890514879,3,2,31,52
1.0,360,118668.61,120368.63,0.0,5,2,9,2
93.0,240,90931.29,95407.0,0.0,5,2,12,2
5.0,240,0.0,53449.6,0.703718338,5,2,17,37
31.0,240,25211.75,26628.83,0.9688518046,3,4,13,46
1.0,240,0.0,84812.58,0.7404672062,5,2,15,6
90.0,221,26177.25,20110.05,0.9332527766,3,4,31,33
41.0,180,0.0,59590.71,0.0,5,2,58,18
25.0,300,0.0,59751.4,1.0,4,2,16,1
9.0,360,0.0,185808.91,1.0,5,2,27,2
85.0,218,28328.0,24258.46,0.0,3,4,39,17
24.98,72,6157.23,4852.28,0.0,1,2,55,8
26.0,240,105022.16,103975.78,0.0,5,2,19,2
13.0,240,0.0,27392.54,0.8522280302,4,2,17,12
18.0,300,0.0,69472.07,1.0,4,2,12,3
94.0,234,9792.86,12249.45,0.8975472368,3,2,36,45
90.0,240,32190.83,32577.62,0.0118728747,4,2,34,1
5.0,360,0.0,106594.51,1.0,5,2,16,7
17.0,232,16500.68,18071.38,0.9236870676,3,2,24,51
1.0,240,61975.06,59904.99,0.0,5,2,43,3
24.98,228,22610.15,14198.0,0.8589618256,3,4,14,60
24.98,240,78506.96,78770.16,0.0033413668,4,2,9,0
0.0,240,215401.95,209721.05,0.0,5,2,15,1
61.0,276,0.0,104890.22,1.0,5,2,16,2
24.98,240,66609.54,58355.54,0.0,5,2,15,11
0.0,240,145400.55,93502.07,1.0,5,2,12,36
53.0,360,0.0,84105.91,1.0,5,2,12,1
24.98,240,158262.41,158752.24,0.0,5,2,15,2
24.98,120,45932.23,43646.79,0.0,1,2,47,3
40.0,360,50501.19,47929.89,0.0,5,2,13,6
77.0,300,0.0,49255.93,1.0,4,2,26,3
2.0,224,14416.11,18240.89,0.8665547569,3,2,36,40
95.0,110,28629.55,29397.22,0.0,5,2,12,1
24.98,120,119284.98,79460.56,0.0,5,2,8,24
1.0,230,7416.74,11432.39,0.9012708629,3,4,19,61
3.0,360,86614.85,88877.8,0.0254613638,5,2,18,2
24.98,240,5296.26,27639.69,0.7181612179,5,2,21,32
1.0,300,0.0,41928.27,1.0,4,2,12,1
1.0,240,62681.99,118319.57,0.7692354015,5,2,21,57
1.0,240,0.0,65204.31,0.7323957831,5,2,25,6
1.0,240,61174.53,91319.0,1.0,1,2,26,57
1.0,230,10496.9,11646.56,0.9444290846,3,4,38,46
76.0,300,0.0,85666.39,1.0,4,2,7,3
94.0,240,10220.42,11972.81,0.8757877223,3,2,22,32
1.0,240,59253.63,61625.16,0.0,5,2,25,23
24.98,180,15065.76,19500.28,0.2274080167,1,2,123,3
24.98,240,101291.1,100627.15,0.0,5,2,27,1
55.0,283,30121.13,33041.04,0.0883722183,5,2,41,4
1.0,216,17895.2,16310.86,0.9432384313,3,4,26,29
1.0,240,0.0,81328.8,0.6592781596,5,2,31,13
1.0,300,0.0,100006.76,1.0,5,2,13,3
18.0,180,96847.8,110055.4,0.0,5,2,24,23
94.0,300,0.0,42484.56,1.0,4,2,20,1
70.0,300,0.0,35380.59,1.0,4,2,18,3
24.98,240,61096.5,57254.5,0.0,4,2,29,10
0.0,240,64122.22,66129.33,0.0,5,2,16,20
1.0,240,106522.88,59509.34,1.0,1,2,45,38
8.0,125,16561.51,16512.41,0.0,5,2,42,1
1.0,236,21249.77,10922.74,1.0,3,2,42,26
2.0,300,73922.81,74738.77,0.010917493,4,2,9,1
0.0,360,0.0,173587.13,1.0,5,2,7,8
25.0,230,7183.36,8300.01,0.8926471173,3,2,28,52
24.98,204,0.0,152685.63,1.0,5,2,16,8
4.0,234,11791.92,15160.16,0.9352981763,3,2,22,52
44.0,240,10481.31,12074.36,0.8852179329,3,2,23,30
53.0,360,0.0,190861.03,1.0,5,2,21,1
91.0,300,41683.63,43860.93,0.0496409903,4,2,12,7
48.0,240,0.0,30464.88,0.7550575088,5,2,29,7
5.0,240,0.0,18928.8,1.0,4,2,21,10
4.0,240,10516.45,8973.2,0.0,3,4,35,18
44.0,180,92259.25,109664.54,0.6951337382,5,2,10,37
5.0,240,0.0,54650.57,1.0,4,2,35,1
0.0,240,0.0,37407.74,0.8038375123,5,2,19,6
24.98,240,15775.02,16525.79,0.0,4,2,12,12
29.0,240,0.0,95827.57,0.8477496299,5,2,22,2
24.98,222,13455.71,5049.6,0.941395358,3,2,27,40
24.98,240,18114.32,18669.68,0.9499021944,3,2,20,35
2.0,240,0.0,122094.86,1.0,5,2,42,5
24.98,300,0.0,79105.3,1.0,4,2,7,2
24.98,180,45205.35,57960.3,0.0,1,2,30,22
1.0,231,7862.08,9389.68,0.9943129052,3,2,49,29
24.98,300,0.0,53311.46,1.0,4,2,9,3
24.98,240,181903.97,162271.68,0.0,5,2,24,8
13.0,240,0.0,111700.33,1.0,5,2,43,1
1.0,300,0.0,43747.88,1.0,4,2,14,9
1.0,240,0.0,112771.02,1.0,5,2,23,15
52.0,360,0.0,122825.64,1.0,5,2,12,6
0.0,360,140216.09,127089.23,0.0,5,2,26,10
2.0,300,71971.65,68264.51,0.0,4,2,11,9
1.0,205,17850.43,19102.52,0.8501726474,3,2,20,35
24.98,360,43801.24,45196.19,0.0,5,2,12,12
1.0,240,11316.34,13973.98,0.1901849008,1,2,122,9
24.98,240,121559.19,104664.47,0.0,5,2,17,11
2.0,300,0.0,59308.37,1.0,4,2,23,2
28.0,180,49475.97,49862.6,0.0,5,2,11,2
24.98,151,38300.64,42512.15,0.0,5,2,17,5
1.0,236,13215.95,13963.23,1.0,3,4,32,31
56.0,230,13653.02,15965.84,0.9114221363,3,2,23,53
94.0,224,1736.17,17840.36,0.8907589309,3,2,17,55
0.0,240,78662.03,70561.77,0.0,5,2,17,10
71.0,200,96726.47,95967.49,0.0,5,2,20,3
24.98,240,88931.16,81465.59,0.0,5,2,32,20
24.98,345,58506.81,55454.61,0.0,5,2,20,3
56.0,240,19221.72,20101.49,0.9335183611,3,2,19,42
5.0,236,21249.77,15665.3,0.0,3,2,57,11
92.0,240,28635.18,30637.85,0.0,1,2,64,24
94.0,236,18386.2,17225.82,0.9150345238,3,2,24,41
24.98,180,47699.2,60862.86,0.0,1,2,61,21
53.0,240,67468.79,74730.5,0.0,5,2,32,24
21.0,240,0.0,91258.54,0.715575318,5,2,40,37
24.98,240,58011.79,50448.87,0.0,5,2,43,12
